"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","62,906","-","-","39,808,562","6,077,142,552","-","-","14.7%","-","-"
"1 沼田店","-","3,725.6","770","261","1,085","470,618","88,854,295","29.1%","33.8%","18.9%","116.2%","-"
"2 渋川インター店","-","1,922.8","711","219","606","465,674","69,711,825","31.5%","30.8%","15.0%","97.8%","-"
"3 中之条店","-","3,149.9","457","109","976","166,894","27,682,424","31.0%","23.8%","16.6%","76.9%","-"
"4 前橋若宮店","-","4,061.4","598","186","1,164","455,528","74,575,446","28.7%","31.1%","16.4%","108.5%","-"
"5 前橋大利根店","-","5,779.4","1,205","386","1,905","718,427","112,383,976","33.0%","32.1%","15.6%","97.3%","-"
"6 ガーデン前橋店","-","5,816.6","1,097","330","1,732","714,603","101,369,308","29.8%","30.1%","14.2%","100.9%","-"
"7 富岡店","-","1,242.7","712","214","292","428,413","70,568,402","23.5%","30.1%","16.5%","128.2%","-"
"8 安中店","-","1,989.5","794","219","340","419,632","68,377,003","17.1%","27.6%","16.3%","161.4%","-"
"9 高崎本店","-","6,367.7","998","428","2,349","1,070,110","123,213,447","36.9%","42.9%","11.5%","116.3%","-"
"10 倉賀野店","-","3,846.4","975","285","1,192","514,523","76,612,520","31.0%","29.2%","14.9%","94.1%","-"
"11 金古店","-","4,946.4","998","312","1,660","687,955","106,751,570","33.6%","31.3%","15.5%","93.2%","-"
"12 伊勢崎店","-","4,466.0","819","205","1,488","391,780","54,821,639","33.3%","25.0%","14.0%","75.1%","-"
"13 大間々店","-","4,120.8","992","307","1,118","592,558","89,814,338","27.1%","30.9%","15.2%","114.0%","-"
"14 館林店","-","3,277.5","878","234","687","495,540","71,508,722","21.0%","26.6%","14.4%","127.2%","-"
"15 太田矢島店","-","5,736.1","818","277","1,848","578,556","83,923,541","32.2%","33.8%","14.5%","105.0%","-"
"16 太田店","-","7,078.0","1,296","437","2,185","789,073","69,818,955","30.9%","33.7%","8.8%","109.3%","-"
"17 上越店","-","4,946.4","1,355","367","1,346","576,267","96,815,320","27.2%","27.1%","13.7%","99.6%","-"
"18 上田店","-","4,688.2","842","241","1,319","483,444","29,426,574","28.1%","28.6%","5.7%","101.7%","-"
"19 S熊谷店","-","5,525.4","1,029","420","1,382","930,311","133,857,153","25.0%","40.8%","14.4%","163.0%","-"
"20 S鴻巣店","-","4,599.5","1,050","308","1,298","686,248","81,119,333","28.2%","29.3%","11.8%","103.9%","-"
"21 S上里店","-","4,971.2","997","279","1,082","566,386","83,322,256","21.8%","28.0%","14.7%","128.5%","-"
"22 入間店","-","6,693.0","998","250","1,981","546,086","78,383,103","29.6%","25.0%","14.4%","84.6%","-"
"23 坂戸店","-","4,607.9","940","392","1,441","873,652","133,663,672","31.3%","41.7%","15.3%","133.2%","-"
"24 花園店","-","4,965.1","898","341","1,113","839,333","133,107,378","22.4%","38.0%","15.9%","169.7%","-"
"25 杉戸店","-","4,971.7","814","196","1,509","415,527","70,886,198","30.3%","24.1%","17.1%","79.5%","-"
"26 羽生店","-","3,846.5","794","162","800","329,956","51,781,171","20.8%","20.4%","15.7%","97.9%","-"
"27 千葉みなと店","-","5,545.3","1,105","323","2,034","522,636","78,175,926","36.7%","29.2%","15.0%","79.7%","-"
"28 浜野店","-","6,228.6","918","328","1,977","733,929","108,726,968","31.7%","35.8%","14.8%","112.7%","-"
"29 佐倉店","-","5,427.9","821","317","1,609","684,693","95,030,442","29.6%","38.7%","13.9%","130.4%","-"
"30 S東金店","-","3,882.0","954","515","1,301","1,100,740","63,350,013","33.5%","54.0%","5.8%","161.1%","-"
"32 旭店","-","2,618.8","706","157","608","291,094","45,037,839","23.2%","22.3%","15.5%","95.9%","-"
"33 妙典駅前店","-","4,927.1","639","229","1,671","541,096","75,580,868","33.9%","35.8%","14.0%","105.5%","-"
"34 ＷＡＫＯ鹿島店","-","4,181.1","835","295","1,016","596,698","96,469,996","24.3%","35.3%","15.8%","145.2%","-"
"35 神栖店","-","5,453.1","896","287","1,517","598,568","105,901,894","27.8%","32.1%","17.3%","115.2%","-"
"36 立川店","-","5,237.4","1,000","210","1,723","398,997","59,299,411","32.9%","21.0%","13.8%","63.8%","-"
"37 新小岩店","-","6,258.5","753","228","1,919","429,825","79,145,950","30.7%","30.2%","17.7%","98.6%","-"
"38 八王子北野店","-","5,484.4","617","168","1,804","338,950","54,928,433","32.9%","27.3%","15.2%","82.9%","-"
"40 錦糸町店","-","4,987.6","996","454","1,866","1,078,653","137,744,851","37.4%","45.6%","12.0%","121.9%","-"
"41 座間店","-","4,288.8","1,030","277","1,738","504,839","77,046,719","40.5%","26.9%","15.3%","66.3%","-"
"42 平塚駅前店","-","4,761.4","997","302","1,488","661,635","108,851,982","31.2%","30.2%","16.5%","96.7%","-"
"43 上永谷店","-","3,926.6","640","155","1,203","266,363","46,635,120","30.6%","24.2%","17.5%","79.1%","-"
"44 姫路店　","-","4,159.9","909","287","1,339","524,708","70,169,551","32.2%","31.6%","13.1%","98.0%","-"
"45 新開地店","-","4,374.0","1,337","578","1,607","1,117,452","133,684,458","36.7%","43.2%","11.7%","117.7%","-"
"46 仙台東店","-","5,248.8","833","271","1,428","630,685","88,921,675","27.2%","32.5%","13.7%","119.5%","-"
"47 仙台泉店","-","5,626.0","914","337","1,754","810,820","106,919,884","31.2%","36.9%","12.9%","118.4%","-"
"48 福岡本店","-","9,574.2","1,197","426","2,937","819,383","134,438,897","30.7%","35.6%","15.0%","116.1%","-"
"49 筑紫野店","-","9,733.6","1,761","538","3,074","988,852","177,911,456","31.6%","30.6%","16.7%","96.8%","-"
"50 福重店","-","8,586.4","998","365","2,925","708,422","139,278,976","34.1%","36.6%","18.6%","107.3%","-"
"51 伊都店","-","5,995.3","997","272","2,025","391,859","77,172,273","33.8%","27.3%","18.4%","80.9%","-"
"52 飯塚店","-","7,030.4","1,257","362","2,198","590,340","102,368,420","31.3%","28.8%","15.8%","92.2%","-"
"53 中間店","-","5,865.4","844","285","1,821","463,550","78,940,999","31.1%","33.8%","15.6%","109.0%","-"
"54 門司店","-","1,982.9","634","159","448","233,267","46,863,416","22.6%","25.1%","18.7%","111.1%","-"
"55 松浦店","-","1,119.1","716","127","191","166,323","37,817,264","17.1%","17.8%","21.4%","104.4%","-"
"56 佐々インター店","-","5,480.4","1,018","416","1,621","762,704","146,784,015","29.6%","40.8%","17.6%","138.1%","-"
"57 大野店","-","1,832.1","602","160","396","242,975","56,084,422","21.6%","26.6%","21.8%","123.2%","-"
"58 佐世保南店","-","4,578.4","817","316","1,576","579,747","129,031,535","34.4%","38.6%","21.0%","112.1%","-"
"59 大村店","-","2,816.0","738","288","824","498,509","91,544,555","29.2%","39.1%","16.9%","133.7%","-"
"60 諫早店","-","5,602.1","1,197","375","1,753","629,994","127,286,429","31.3%","31.3%","18.8%","100.1%","-"
"61 長与店","-","2,274.3","845","315","916","528,386","102,435,929","40.3%","37.3%","17.7%","92.5%","-"
"62 女神店","-","4,108.1","1,275","445","1,204","728,341","152,422,404","29.3%","34.9%","19.2%","119.1%","-"
"63 大分本店","-","7,970.7","995","282","2,071","376,352","63,132,050","26.0%","28.4%","15.3%","109.3%","-"
"64 南大分店","-","4,342.5","999","331","1,356","560,948","95,145,335","31.2%","33.1%","15.5%","106.0%","-"
"65 日向店","-","3,777.5","995","335","994","531,080","84,203,770","26.3%","33.6%","13.7%","127.8%","-"
"66 都城店","-","6,581.3","1,036","260","2,149","407,389","69,900,790","32.7%","25.1%","15.6%","76.9%","-"
"67 大淀店","-","7,474.8","1,336","520","2,519","841,917","98,259,821","33.7%","39.0%","10.2%","115.6%","-"
"68 延岡店","-","3,589.4","997","382","1,091","661,914","114,090,240","30.4%","38.4%","15.7%","126.2%","-"
"69 松橋インター店","-","3,299.1","828","209","1,008","410,269","54,061,119","30.6%","25.2%","13.2%","82.5%","-"
"70 八代店","-","4,834.0","994","329","1,314","646,569","83,996,888","27.2%","33.1%","13.0%","121.6%","-"